pos,neg,pos_count,neg_count
positive,negative,0,1
positive,negative,1,1
positive,negative,1,1
positive,negative,1,1
positive,negative,1,1
positive,negative,1,2
positive,negative,2,2
positive,negative,2,3
positive,negative,2,3
positive,negative,3,3
positive,negative,4,3
positive,negative,5,3
positive,negative,6,3
positive,negative,6,4
positive,negative,6,4
positive,negative,6,5
positive,negative,7,5
positive,negative,7,5
positive,negative,7,5
positive,negative,7,5
positive,negative,7,6
positive,negative,8,6
positive,negative,8,7
positive,negative,8,7
positive,negative,9,7
positive,negative,10,7
positive,negative,11,7
positive,negative,12,7
positive,negative,12,8
positive,negative,12,8
positive,negative,12,9
positive,negative,13,9
positive,negative,13,9
positive,negative,13,9
positive,negative,13,9
positive,negative,13,10
positive,negative,14,10
positive,negative,14,11
positive,negative,14,11
positive,negative,15,11
positive,negative,16,11
positive,negative,17,11
positive,negative,18,11
positive,negative,18,12
positive,negative,18,12
positive,negative,18,13
positive,negative,19,13
positive,negative,19,13
positive,negative,19,13
positive,negative,19,13
positive,negative,19,14
positive,negative,20,14
positive,negative,20,15
positive,negative,20,15
positive,negative,21,15
positive,negative,22,15
positive,negative,23,15
positive,negative,24,15
positive,negative,24,16
positive,negative,24,16
positive,negative,24,17
positive,negative,25,17
positive,negative,25,17
positive,negative,25,17
positive,negative,25,17
positive,negative,25,18
positive,negative,26,18
positive,negative,26,19
positive,negative,26,19
positive,negative,27,19
positive,negative,28,19
positive,negative,29,19
positive,negative,30,19
positive,negative,30,20
positive,negative,30,20
positive,negative,30,21
positive,negative,31,21
positive,negative,31,21
positive,negative,31,21
positive,negative,31,21
positive,negative,31,22
positive,negative,32,22
positive,negative,32,23
positive,negative,32,23
positive,negative,33,23
positive,negative,34,23
positive,negative,35,23
positive,negative,36,23
positive,negative,36,24
positive,negative,36,24
positive,negative,36,25
positive,negative,37,25
positive,negative,37,25
positive,negative,37,25
positive,negative,37,25
positive,negative,37,26
positive,negative,38,26
positive,negative,38,27
positive,negative,38,27
positive,negative,39,27
positive,negative,40,27
positive,negative,41,27
positive,negative,42,27
positive,negative,42,28
positive,negative,42,28
positive,negative,42,29
positive,negative,43,29
positive,negative,43,29
positive,negative,43,29
positive,negative,43,29
positive,negative,43,30
positive,negative,44,30
positive,negative,44,31
positive,negative,44,31
positive,negative,45,31
positive,negative,46,31
positive,negative,47,31
positive,negative,48,31
positive,negative,48,32
positive,negative,48,32
positive,negative,48,33
positive,negative,49,33
positive,negative,49,33
positive,negative,49,33
positive,negative,49,33
positive,negative,49,34
positive,negative,50,34
positive,negative,50,35
positive,negative,50,35
positive,negative,51,35
positive,negative,52,35
positive,negative,53,35
positive,negative,54,35
positive,negative,54,36
positive,negative,54,36
positive,negative,54,37
positive,negative,55,37
positive,negative,55,37
positive,negative,55,37
positive,negative,55,37
positive,negative,55,38
positive,negative,56,38
positive,negative,56,39
positive,negative,56,39
positive,negative,57,39
positive,negative,58,39
positive,negative,59,39
positive,negative,60,39
positive,negative,60,40
positive,negative,60,40
positive,negative,60,41
positive,negative,61,41
positive,negative,61,41
positive,negative,61,41
positive,negative,61,41
positive,negative,61,42
positive,negative,62,42
positive,negative,62,43
positive,negative,62,43
positive,negative,63,43
positive,negative,64,43
positive,negative,65,43
positive,negative,66,43
positive,negative,66,44
positive,negative,66,44
positive,negative,66,45
positive,negative,67,45
positive,negative,67,45
positive,negative,67,45
positive,negative,67,45
positive,negative,67,46
positive,negative,68,46
positive,negative,68,47
positive,negative,68,47
positive,negative,69,47
positive,negative,70,47
positive,negative,71,47
positive,negative,72,47
positive,negative,72,48
positive,negative,72,48
positive,negative,72,49
positive,negative,73,49
positive,negative,73,49
positive,negative,73,49
positive,negative,73,49
positive,negative,73,50
positive,negative,74,50
positive,negative,74,51
positive,negative,74,51
positive,negative,75,51
positive,negative,76,51
positive,negative,77,51
positive,negative,78,51
positive,negative,78,52
positive,negative,78,52
positive,negative,78,53
positive,negative,79,53
positive,negative,79,53
positive,negative,79,53
positive,negative,79,53
positive,negative,79,54
positive,negative,80,54
positive,negative,80,55
positive,negative,80,55
positive,negative,81,55
positive,negative,82,55
positive,negative,83,55
positive,negative,84,55
positive,negative,84,56
positive,negative,84,56
positive,negative,84,57
positive,negative,85,57
positive,negative,85,57
positive,negative,85,57
positive,negative,85,57
positive,negative,85,58
positive,negative,86,58
positive,negative,86,59
positive,negative,86,59
positive,negative,87,59
positive,negative,88,59
positive,negative,89,59
positive,negative,90,59
positive,negative,90,60
positive,negative,90,60
positive,negative,90,61
positive,negative,91,61
positive,negative,91,61
positive,negative,91,61
positive,negative,91,61
positive,negative,91,62
positive,negative,92,62
positive,negative,92,63
positive,negative,92,63
positive,negative,93,63
positive,negative,94,63
positive,negative,95,63
positive,negative,96,63
positive,negative,96,64
positive,negative,96,64
positive,negative,96,65
positive,negative,97,65
positive,negative,97,65
positive,negative,97,65
positive,negative,97,65
positive,negative,97,66
positive,negative,98,66
positive,negative,98,67
positive,negative,98,67
positive,negative,99,67
positive,negative,100,67
positive,negative,101,67
positive,negative,102,67
positive,negative,102,68
positive,negative,102,68
positive,negative,102,69
positive,negative,103,69
positive,negative,103,69
positive,negative,103,69
positive,negative,103,69
positive,negative,103,70
positive,negative,104,70
positive,negative,104,71
positive,negative,104,71
positive,negative,105,71
positive,negative,106,71
positive,negative,107,71
positive,negative,108,71
positive,negative,108,72
positive,negative,108,72
positive,negative,108,73
positive,negative,109,73
positive,negative,109,73
positive,negative,109,73
positive,negative,109,73
positive,negative,109,74
positive,negative,110,74
positive,negative,110,75
positive,negative,110,75
positive,negative,111,75
positive,negative,112,75
positive,negative,113,75
positive,negative,114,75
positive,negative,114,76
positive,negative,114,76
positive,negative,114,77
positive,negative,115,77
positive,negative,115,77
positive,negative,115,77
positive,negative,115,77
positive,negative,115,78
positive,negative,116,78
positive,negative,116,79
positive,negative,116,79
positive,negative,117,79
positive,negative,118,79
positive,negative,119,79
positive,negative,120,79
positive,negative,120,80
positive,negative,120,80
positive,negative,120,81
positive,negative,121,81
positive,negative,121,81
positive,negative,121,81
positive,negative,121,81
positive,negative,121,82
positive,negative,122,82
positive,negative,122,83
positive,negative,122,83
positive,negative,123,83
positive,negative,124,83
positive,negative,125,83
positive,negative,126,83
positive,negative,126,84
positive,negative,126,84
positive,negative,126,85
positive,negative,127,85
positive,negative,127,85
positive,negative,127,85
positive,negative,127,85
positive,negative,127,86
positive,negative,128,86
positive,negative,128,87
positive,negative,128,87
positive,negative,129,87
positive,negative,130,87
positive,negative,131,87
positive,negative,132,87
positive,negative,132,88
positive,negative,132,88
positive,negative,132,89
positive,negative,133,89
positive,negative,133,89
positive,negative,133,89
positive,negative,133,89
positive,negative,133,90
positive,negative,134,90
positive,negative,134,91
positive,negative,134,91
positive,negative,135,91
positive,negative,136,91
positive,negative,137,91
positive,negative,138,91
positive,negative,138,92
positive,negative,138,92
positive,negative,138,93
positive,negative,139,93
positive,negative,139,93
positive,negative,139,93
positive,negative,139,93
positive,negative,139,94
positive,negative,140,94
positive,negative,140,95
positive,negative,140,95
positive,negative,141,95
positive,negative,142,95
positive,negative,143,95
positive,negative,144,95
positive,negative,144,96
positive,negative,144,96
positive,negative,144,97
positive,negative,145,97
positive,negative,145,97
positive,negative,145,97
positive,negative,145,97
positive,negative,145,98
positive,negative,146,98
positive,negative,146,99
positive,negative,146,99
positive,negative,147,99
positive,negative,148,99
positive,negative,149,99
positive,negative,150,99
positive,negative,150,100
positive,negative,150,100
positive,negative,150,101
positive,negative,151,101
positive,negative,151,101
positive,negative,151,101
positive,negative,151,101
positive,negative,151,102
positive,negative,152,102
positive,negative,152,103
positive,negative,152,103
positive,negative,153,103
positive,negative,154,103
positive,negative,155,103
positive,negative,156,103
positive,negative,156,104
positive,negative,156,104
positive,negative,156,105
positive,negative,157,105
positive,negative,157,105
positive,negative,157,105
positive,negative,157,105
positive,negative,157,106
positive,negative,158,106
positive,negative,158,107
positive,negative,158,107
positive,negative,159,107
positive,negative,160,107
positive,negative,161,107
positive,negative,162,107
positive,negative,162,108
positive,negative,162,108
positive,negative,162,109
positive,negative,163,109
positive,negative,163,109
positive,negative,163,109
positive,negative,163,109
positive,negative,163,110
positive,negative,164,110
positive,negative,164,111
positive,negative,164,111
positive,negative,165,111
positive,negative,166,111
positive,negative,167,111
positive,negative,168,111
positive,negative,168,112
positive,negative,168,112
positive,negative,168,113
positive,negative,169,113
positive,negative,169,113
positive,negative,169,113
positive,negative,169,113
positive,negative,169,114
positive,negative,170,114
positive,negative,170,115
positive,negative,170,115
positive,negative,171,115
positive,negative,172,115
positive,negative,173,115
positive,negative,174,115
positive,negative,174,116
positive,negative,174,116
positive,negative,174,117
positive,negative,175,117
positive,negative,175,117
positive,negative,175,117
positive,negative,175,117
positive,negative,175,118
positive,negative,176,118
positive,negative,176,119
positive,negative,176,119
positive,negative,177,119
positive,negative,178,119
positive,negative,179,119
positive,negative,180,119
positive,negative,180,120
positive,negative,180,120
positive,negative,180,121
positive,negative,181,121
positive,negative,181,121
positive,negative,181,121
positive,negative,181,121
positive,negative,181,122
positive,negative,182,122
positive,negative,182,123
positive,negative,182,123
positive,negative,183,123
positive,negative,184,123
positive,negative,185,123
positive,negative,186,123
positive,negative,186,124
positive,negative,186,124
positive,negative,186,125
positive,negative,187,125
positive,negative,187,125
positive,negative,187,125
positive,negative,187,125
positive,negative,187,126
positive,negative,188,126
positive,negative,188,127
positive,negative,188,127
positive,negative,189,127
positive,negative,190,127
positive,negative,191,127
positive,negative,192,127
positive,negative,192,128
positive,negative,192,128
positive,negative,192,129
positive,negative,193,129
positive,negative,193,129
positive,negative,193,129
positive,negative,193,129
positive,negative,193,130
positive,negative,194,130
positive,negative,194,131
positive,negative,194,131
positive,negative,195,131
positive,negative,196,131
positive,negative,197,131
positive,negative,198,131
positive,negative,198,132
positive,negative,198,132
positive,negative,198,133
positive,negative,199,133
positive,negative,199,133
positive,negative,199,133
positive,negative,199,133
positive,negative,199,134
positive,negative,200,134
positive,negative,200,135
positive,negative,200,135
positive,negative,201,135
positive,negative,202,135
positive,negative,203,135
positive,negative,204,135
positive,negative,204,136
positive,negative,204,136
positive,negative,204,137
positive,negative,205,137
positive,negative,205,137
positive,negative,205,137
positive,negative,205,137
positive,negative,205,138
positive,negative,206,138
positive,negative,206,139
positive,negative,206,139
positive,negative,207,139
positive,negative,208,139
positive,negative,209,139
positive,negative,210,139
positive,negative,210,140
positive,negative,210,140
positive,negative,210,141
positive,negative,211,141
positive,negative,211,141
positive,negative,211,141
positive,negative,211,141
positive,negative,211,142
positive,negative,212,142
positive,negative,212,143
positive,negative,212,143
positive,negative,213,143
positive,negative,214,143
positive,negative,215,143
positive,negative,216,143
positive,negative,216,144
positive,negative,216,144
positive,negative,216,145
positive,negative,217,145
positive,negative,217,145
positive,negative,217,145
positive,negative,217,145
positive,negative,217,146
positive,negative,218,146
positive,negative,218,147
positive,negative,218,147
positive,negative,219,147
positive,negative,220,147
positive,negative,221,147
positive,negative,222,147
positive,negative,222,148
positive,negative,222,148
positive,negative,222,149
positive,negative,223,149
positive,negative,223,149
positive,negative,223,149
positive,negative,223,149
positive,negative,223,150
positive,negative,224,150
positive,negative,224,151
positive,negative,224,151
positive,negative,225,151
positive,negative,226,151
positive,negative,227,151
positive,negative,228,151
positive,negative,228,152
positive,negative,228,152
positive,negative,228,153
positive,negative,229,153
positive,negative,229,153
positive,negative,229,153
positive,negative,229,153
positive,negative,229,154
positive,negative,230,154
positive,negative,230,155
positive,negative,230,155
positive,negative,231,155
positive,negative,232,155
positive,negative,233,155
positive,negative,234,155
positive,negative,234,156
positive,negative,234,156
positive,negative,234,157
positive,negative,235,157
positive,negative,235,157
positive,negative,235,157
positive,negative,235,157
positive,negative,235,158
positive,negative,236,158
positive,negative,236,159
positive,negative,236,159
positive,negative,237,159
positive,negative,238,159
positive,negative,239,159
positive,negative,240,159
positive,negative,240,160
positive,negative,240,160
positive,negative,240,161
positive,negative,241,161
positive,negative,241,161
positive,negative,241,161
positive,negative,241,161
positive,negative,241,162
positive,negative,242,162
positive,negative,242,163
positive,negative,242,163
positive,negative,243,163
positive,negative,244,163
positive,negative,245,163
positive,negative,246,163
positive,negative,246,164
positive,negative,246,164
positive,negative,246,165
positive,negative,247,165
positive,negative,247,165
positive,negative,247,165
positive,negative,247,165
positive,negative,247,166
positive,negative,248,166
positive,negative,248,167
positive,negative,248,167
positive,negative,249,167
positive,negative,250,167
positive,negative,251,167
positive,negative,252,167
positive,negative,252,168
positive,negative,252,168
positive,negative,252,169
positive,negative,253,169
positive,negative,253,169
positive,negative,253,169
positive,negative,253,169
positive,negative,253,170
positive,negative,254,170
positive,negative,254,171
positive,negative,254,171
positive,negative,255,171
positive,negative,256,171
positive,negative,257,171
positive,negative,258,171
positive,negative,258,172
positive,negative,258,172
positive,negative,258,173
positive,negative,259,173
positive,negative,259,173
positive,negative,259,173
positive,negative,259,173
positive,negative,259,174
positive,negative,260,174
positive,negative,260,175
positive,negative,260,175
positive,negative,261,175
positive,negative,262,175
positive,negative,263,175
positive,negative,264,175
positive,negative,264,176
positive,negative,264,176
positive,negative,264,177
positive,negative,265,177
positive,negative,265,177
positive,negative,265,177
positive,negative,265,177
positive,negative,265,178
positive,negative,266,178
positive,negative,266,179
positive,negative,266,179
positive,negative,267,179
positive,negative,268,179
positive,negative,269,179
positive,negative,270,179
positive,negative,270,180
positive,negative,270,180
positive,negative,270,181
positive,negative,271,181
positive,negative,271,181
positive,negative,271,181
positive,negative,271,181
positive,negative,271,182
positive,negative,272,182
positive,negative,272,183
positive,negative,272,183
positive,negative,273,183
positive,negative,274,183
positive,negative,275,183
positive,negative,276,183
positive,negative,276,184
positive,negative,276,184
positive,negative,276,185
positive,negative,277,185
positive,negative,277,185
positive,negative,277,185
positive,negative,277,185
positive,negative,277,186
positive,negative,278,186
positive,negative,278,187
positive,negative,278,187
positive,negative,279,187
positive,negative,280,187
positive,negative,281,187
positive,negative,282,187
positive,negative,282,188
positive,negative,282,188
positive,negative,282,189
positive,negative,283,189
positive,negative,283,189
positive,negative,283,189
positive,negative,283,189
positive,negative,283,190
positive,negative,284,190
positive,negative,284,191
positive,negative,284,191
positive,negative,285,191
positive,negative,286,191
positive,negative,287,191
positive,negative,288,191
positive,negative,288,192
positive,negative,288,192
positive,negative,288,193
positive,negative,289,193
positive,negative,289,193
positive,negative,289,193
positive,negative,289,193
positive,negative,289,194
positive,negative,290,194
positive,negative,290,195
positive,negative,290,195
positive,negative,291,195
positive,negative,292,195
positive,negative,293,195
positive,negative,294,195
positive,negative,294,196
positive,negative,294,196
positive,negative,294,197
positive,negative,295,197
positive,negative,295,197
positive,negative,295,197
positive,negative,295,197
positive,negative,295,198
positive,negative,296,198
positive,negative,296,199
positive,negative,296,199
positive,negative,297,199
positive,negative,298,199
positive,negative,299,199
positive,negative,300,199
positive,negative,300,200
positive,negative,300,200
positive,negative,300,201
positive,negative,301,201
positive,negative,301,201
positive,negative,301,201
positive,negative,301,201
positive,negative,301,202
positive,negative,302,202
positive,negative,302,203
positive,negative,302,203
positive,negative,303,203
positive,negative,304,203
positive,negative,305,203
positive,negative,306,203
positive,negative,306,204
positive,negative,306,204
positive,negative,306,205
positive,negative,307,205
positive,negative,307,205
positive,negative,307,205
positive,negative,307,205
positive,negative,307,206
positive,negative,308,206
positive,negative,308,207
positive,negative,308,207
positive,negative,309,207
positive,negative,310,207
positive,negative,311,207
positive,negative,312,207
positive,negative,312,208
positive,negative,312,208
positive,negative,312,209
positive,negative,313,209
positive,negative,313,209
positive,negative,313,209
positive,negative,313,209
positive,negative,313,210
positive,negative,314,210
positive,negative,314,211
positive,negative,314,211
positive,negative,315,211
positive,negative,316,211
positive,negative,317,211
positive,negative,318,211
positive,negative,318,212
positive,negative,318,212
positive,negative,318,213
positive,negative,319,213
